Original,Obfuscated
x,(~x&y)-(~(x&y))+2*(x|~y)-(~(x^y))
-x,(~x&y)-(~(x&y))+2*(~(x|y))-(~x^y)
-x,(~x&y)-(~(x&y))+2*(~(x|y))-(x^~y)
-x,(~x&y)-(~(x&y))+2*(~(x|y))-(~(x^y))
-x,(~x&y)+(~(x&y))-2*(x^y)-(~x^y)
-x,(~x&y)+(~(x&y))-2*(x^y)-(x^~y)
-x,(~x&y)+(~(x&y))-2*(x^y)-(~(x^y))
-2*x,(~x&y)-2*(x|y)+(~x|y)-(~x^y)
-2*x,(~x&y)-2*(x|y)+(~x|y)-(x^~y)
-2*x,(~x&y)-2*(x|y)+(~x|y)-(~(x^y))
-x,2*(~x&y)-2*(x|y)+(x|~y)-(~(x|y))
-x,(~x&y)-(x|y)+(~x^y)-(x^~y)
-x,(~x&y)-(x|y)+(~x^y)-(~(x^y))
-x,(~x&y)-(x|y)+(x^~y)-(~(x^y))
-x,2*(~x&y)-(~x|y)+(~(x|y))-(x^y)
-x,(~x&y)+(~(x|y))-(x^y)-(~x^y)
-x,(~x&y)+(~(x|y))-(x^y)-(x^~y)
-x,(~x&y)+(~(x|y))-(x^y)-(~(x^y))
-2*x,-(x&~y)+(~(x&y))-(x|y)-(x|~y)
-x,-(x&~y)+(~(x&y))-(x|y)-(~(x|y))
-2*x,-2*(x&~y)+(~(x&y))-(x|y)-(~x^y)
-2*x,-2*(x&~y)+(~(x&y))-(x|y)-(x^~y)
-2*x,-2*(x&~y)+(~(x&y))-(x|y)-(~(x^y))
-x,-(x&~y)+(~(x&y))-(x^y)-(~x^y)
-x,-(x&~y)+(~(x&y))-(x^y)-(x^~y)
-x,-(x&~y)+(~(x&y))-(x^y)-(~(x^y))
-x,(x&~y)-(x|y)+(~x|y)-(x|~y)
x,2*(x&~y)+(~x|y)-(~(x|y))-(x^y)
x,-(x&~y)+2*(x|~y)-(~(x|y))-(~x^y)
x,-(x&~y)+2*(x|~y)-(~(x|y))-(x^~y)
x,-(x&~y)+2*(x|~y)-(~(x|y))-(~(x^y))
-2*x,-2*(x&~y)+2*(~(x|y))-(~x^y)-(x^~y)
-2*x,-2*(x&~y)+2*(~(x|y))-(~x^y)-(~(x^y))
-2*x,-2*(x&~y)+2*(~(x|y))-(x^~y)-(~(x^y))
-3*x,(~(x&y))-2*(x|y)+(~x|y)-2*(x|~y)
-x,(~(x&y))-2*(x|y)+(~x|y)-2*(~(x|y))
x,(~(x&y))+2*(x|y)-(~x|y)-2*(x^y)
2*x,-(~(x&y))+(x|y)+2*(x|~y)-(~x^y)
2*x,-(~(x&y))+(x|y)+2*(x|~y)-(x^~y)
2*x,-(~(x&y))+(x|y)+2*(x|~y)-(~(x^y))
x,-(~(x&y))+(~x|y)+2*(x|~y)-2*(~x^y)
x,-(~(x&y))+(~x|y)+2*(x|~y)-2*(x^~y)
x,-(~(x&y))+(~x|y)+2*(x|~y)-2*(~(x^y))
-x,-(~(x&y))+(~x|y)+2*(~(x|y))-2*(~x^y)
-x,-(~(x&y))+(~x|y)+2*(~(x|y))-2*(x^~y)
-x,-(~(x&y))+(~x|y)+2*(~(x|y))-2*(~(x^y))
-x,(~(x&y))+(~x|y)-2*(x^y)-2*(~x^y)
-x,(~(x&y))+(~x|y)-2*(x^y)-2*(x^~y)
-x,(~(x&y))+(~x|y)-2*(x^y)-2*(~(x^y))
x,(~(x&y))+(x|~y)-2*(~(x|y))-(x^y)
2*x,2*(x|y)-(~x|y)+(x|~y)-(x^y)
x,2*(x|y)-(~x|y)+(~(x|y))-(x^y)
-2*x,-2*(x|y)+2*(~x|y)-(~x^y)-(x^~y)
-2*x,-2*(x|y)+2*(~x|y)-(~x^y)-(~(x^y))
-2*x,-2*(x|y)+2*(~x|y)-(x^~y)-(~(x^y))
x,(x|y)+(x|~y)-(x^y)-(~x^y)
x,(x|y)+(x|~y)-(x^y)-(x^~y)
x,(x|y)+(x|~y)-(x^y)-(~(x^y))
-x,(~x|y)+(~(x|y))-(x^y)-2*(~x^y)
-x,(~x|y)+(~(x|y))-(x^y)-2*(x^~y)
-x,(~x|y)+(~(x|y))-(x^y)-2*(~(x^y))
x,(x|~y)-(~(x|y))+(~x^y)-(x^~y)
x,(x|~y)-(~(x|y))+(~x^y)-(~(x^y))
x,(x|~y)-(~(x|y))+(x^~y)-(~(x^y))
-y,(-1)-(~x)-(x&y)-(x|y)
-y,(-1)-(~x)-2*(x&y)-(x^y)
y,(-1)-(~x)+(~x&y)-(x&~y)
y,(-1)-(~x)+2*(~x&y)-(x^y)
y,2*(-1)-(~x)-(x&~y)-(x|~y)
-y,-(-1)+(~x)+2*(x&~y)-(x^y)
y,2*(-1)-(~x)-2*(x&~y)-(~x^y)
y,2*(-1)-(~x)-2*(x&~y)-(x^~y)
y,2*(-1)-(~x)-2*(x&~y)-(~(x^y))
y,(-1)+(~x)-(~(x&y))-(~(x|y))
-y,-(-1)-(~x)+2*(~(x&y))-(x^y)
y,2*(-1)+(~x)-2*(~(x&y))-(~x^y)
y,2*(-1)+(~x)-2*(~(x&y))-(x^~y)
y,2*(-1)+(~x)-2*(~(x&y))-(~(x^y))
y,-(-1)+(~x)+2*(x|y)-(x^y)
-y,2*(-1)-(~x)-2*(x|y)-(~x^y)
-y,2*(-1)-(~x)-2*(x|y)-(x^~y)
-y,2*(-1)-(~x)-2*(x|y)-(~(x^y))
y,(-1)-(~x)+(~x|y)-(x|~y)
-y,(-1)+(~x)-2*(~x|y)-(x^y)
y,3*(-1)-(~x)-2*(x|~y)-(x^y)
-y,-2*(-1)+(~x)+2*(x|~y)-(~x^y)
-y,-2*(-1)+(~x)+2*(x|~y)-(x^~y)
-y,-2*(-1)+(~x)+2*(x|~y)-(~(x^y))
y,(-1)+(~x)-2*(~(x|y))-(x^y)
y,2*(-1)-2*(~y)-(x&y)-(~x&y)
y,2*(-1)-(~y)-(x&y)-(~(x&y))
2*y,2*(-1)-(~y)+(x&y)-(x|~y)
2*y,2*(-1)-(~y)+(~x&y)-(~(x&y))
y,2*(-1)-(~y)-(~x&y)-(x|~y)
y,2*(-1)-2*(~y)+(x&~y)-(x|y)
y,2*(-1)-(~y)-(x&~y)-(~x|y)
2*y,2*(-1)-(~y)-(x&~y)-(~(x|y))
2*y,3*(-1)-(~y)-(~(x&y))-(x|~y)
y,3*(-1)-2*(~y)-(x|y)-(~x|y)
y,2*(-1)-(~y)-(x|y)-(~(x|y))
2*y,(-1)-(~y)+(~x|y)-(~(x|y))
y,2*(-1)-(~y)-(x^y)-(~x^y)
y,2*(-1)-(~y)-(x^y)-(x^~y)
y,2*(-1)-(~y)-(x^y)-(~(x^y))
y,(-1)-(~y)+(~x^y)-(x^~y)
y,(-1)-(~y)+(~x^y)-(~(x^y))
y,(-1)-(~y)+(x^~y)-(~(x^y))
-y,(-1)-2*(x&y)-(~x&y)-(~(x&y))
-y,(-1)-(x&y)-2*(~x&y)-(x|~y)
y,(-1)+(x&y)-(x&~y)-(~x^y)
y,(-1)+(x&y)-(x&~y)-(x^~y)
y,(-1)+(x&y)-(x&~y)-(~(x^y))
y,3*(-1)-(x&y)-2*(~(x&y))-(x|~y)
-y,(-1)-(x&y)-(~x|y)-(x^y)
2*y,3*(-1)+(~x&y)-2*(~(x&y))-(x|~y)
-y,(-1)-(~x&y)-(x|y)-(~x^y)
-y,(-1)-(~x&y)-(x|y)-(x^~y)
-y,(-1)-(~x&y)-(x|y)-(~(x^y))
y,(-1)+(~x&y)-(~(x|y))-(x^y)
-y,-(-1)+(x&~y)+(~(x&y))-(x^y)
y,2*(-1)-(x&~y)-(~(x&y))-(~x^y)
y,2*(-1)-(x&~y)-(~(x&y))-(x^~y)
y,2*(-1)-(x&~y)-(~(x&y))-(~(x^y))
-2*y,(-1)+(x&~y)-2*(x|y)-(~x|y)
-y,(-1)+(x&~y)-2*(x|y)-(~(x|y))
y,2*(-1)-2*(x&~y)-(~x|y)-(~(x|y))
y,(-1)-(~(x&y))+(~x|y)-(~x^y)
y,(-1)-(~(x&y))+(~x|y)-(x^~y)
y,(-1)-(~(x&y))+(~x|y)-(~(x^y))
-y,2*(-1)-2*(x|y)-(~x|y)-(~(x|y))
y,(-1)+(x|y)-(x|~y)-(x^y)
y,2*(-1)-(x|~y)-(~(x|y))-(x^y)
-y,-(-1)+(x|~y)+(~(x|y))-(~x^y)
-y,-(-1)+(x|~y)+(~(x|y))-(x^~y)
-y,-(-1)+(x|~y)+(~(x|y))-(~(x^y))
-y,-(~x)+(~y)-(x&y)-(x&~y)
-2*y,-(~x)+(~y)-(x&y)-(x|y)
-2*y,-(~x)+(~y)-2*(x&y)-(x^y)
-y,-(~x)+(~y)+(~x&y)-(x|y)
-y,-(~x)+2*(~y)-(x&~y)-(x|~y)
-y,-(~x)+2*(~y)-2*(x&~y)-(~x^y)
-y,-(~x)+2*(~y)-2*(x&~y)-(x^~y)
-y,-(~x)+2*(~y)-2*(x&~y)-(~(x^y))
-y,(~x)+(~y)-(~(x&y))-(~x|y)
-y,(~x)+2*(~y)-2*(~(x&y))-(~x^y)
-y,(~x)+2*(~y)-2*(~(x&y))-(x^~y)
-y,(~x)+2*(~y)-2*(~(x&y))-(~(x^y))
-2*y,-(~x)+2*(~y)-(x|y)-(x|~y)
2*y,(~x)-(~y)+2*(x|y)-(x^y)
-3*y,-(~x)+2*(~y)-2*(x|y)-(~x^y)
-3*y,-(~x)+2*(~y)-2*(x|y)-(x^~y)
-3*y,-(~x)+2*(~y)-2*(x|y)-(~(x^y))
-2*y,(~x)+(~y)-2*(~x|y)-(x^y)
y,(~x)-(~y)+(x|~y)-(~(x|y))
-2*y,-(~x)+3*(~y)-2*(x|~y)-(x^y)
y,(~x)-2*(~y)+2*(x|~y)-(~x^y)
y,(~x)-2*(~y)+2*(x|~y)-(x^~y)
y,(~x)-2*(~y)+2*(x|~y)-(~(x^y))
-2*y,(~x)-(x&y)-2*(~x&y)-(~x|y)
-y,(~x)-(x&y)-2*(~x&y)-(~(x|y))
-2*y,(~x)-(x&y)-3*(~x&y)-(~x^y)
-2*y,(~x)-(x&y)-3*(~x&y)-(x^~y)
-2*y,(~x)-(x&y)-3*(~x&y)-(~(x^y))
y,(~x)+2*(x&y)+(x&~y)-(x|~y)
-y,-(~x)-(x&y)+(~(x&y))-(x^y)
2*y,(~x)+2*(x&y)+(x|y)-(x|~y)
y,2*(~x)+2*(x&y)-(~x|y)-(~(x|y))
y,2*(~x)+3*(x&y)-(~x|y)-(~x^y)
y,2*(~x)+3*(x&y)-(~x|y)-(x^~y)
y,2*(~x)+3*(x&y)-(~x|y)-(~(x^y))
-2*y,-(~x)-3*(x&y)+(x|~y)-(x^y)
2*y,2*(~x)+3*(x&y)-(~(x|y))-(~x^y)
2*y,2*(~x)+3*(x&y)-(~(x|y))-(x^~y)
2*y,2*(~x)+3*(x&y)-(~(x|y))-(~(x^y))
2*y,2*(~x)+4*(x&y)-(~x^y)-(x^~y)
2*y,2*(~x)+4*(x&y)-(~x^y)-(~(x^y))
2*y,2*(~x)+4*(x&y)-(x^~y)-(~(x^y))
-y,(~x)-2*(~x&y)+(x&~y)-(x|~y)
-y,2*(~x)-2*(~x&y)-(~x|y)-(~(x|y))
-2*y,2*(~x)-3*(~x&y)-(~x|y)-(~x^y)
-2*y,2*(~x)-3*(~x&y)-(~x|y)-(x^~y)
-2*y,2*(~x)-3*(~x&y)-(~x|y)-(~(x^y))
y,-(~x)+3*(~x&y)+(x|~y)-(x^y)
-y,2*(~x)-3*(~x&y)-(~(x|y))-(~x^y)
-y,2*(~x)-3*(~x&y)-(~(x|y))-(x^~y)
-y,2*(~x)-3*(~x&y)-(~(x|y))-(~(x^y))
-2*y,2*(~x)-4*(~x&y)-(~x^y)-(x^~y)
-2*y,2*(~x)-4*(~x&y)-(~x^y)-(~(x^y))
-2*y,2*(~x)-4*(~x&y)-(x^~y)-(~(x^y))
-y,(~x)+2*(x&~y)-(~(x&y))-(x|y)
y,-(~x)+(x&~y)+2*(~x|y)-(x|~y)
-y,(~x)+(x&~y)-(~x|y)-(x^y)
y,(~x)-(x&~y)+(x|~y)-2*(~(x|y))
-y,(~x)+3*(x&~y)-(x|~y)-2*(x^y)
-y,(~x)+2*(x&~y)-2*(x^y)-(~x^y)
-y,(~x)+2*(x&~y)-2*(x^y)-(x^~y)
-y,(~x)+2*(x&~y)-2*(x^y)-(~(x^y))
y,-2*(~x)+(~(x&y))+2*(~x|y)-(x|~y)
y,2*(~x)-(~(x&y))+(x|~y)-2*(~(x|y))
-y,-2*(~x)+3*(~(x&y))-(x|~y)-2*(x^y)
-y,-(~x)+2*(~(x&y))-2*(x^y)-(~x^y)
-y,-(~x)+2*(~(x&y))-2*(x^y)-(x^~y)
-y,-(~x)+2*(~(x&y))-2*(x^y)-(~(x^y))
2*y,-(~x)+(x|y)+2*(~x|y)-(x|~y)
2*y,(~x)+3*(x|y)-(x|~y)-2*(x^y)
y,(~x)+(x|y)-(~(x|y))-(x^y)
y,(~x)+2*(x|y)-2*(x^y)-(~x^y)
y,(~x)+2*(x|y)-2*(x^y)-(x^~y)
y,(~x)+2*(x|y)-2*(x^y)-(~(x^y))
-2*y,2*(~x)-3*(~x|y)+(x|~y)-(x^y)
2*y,-(~x)+3*(~x|y)-(~(x|y))-(~x^y)
2*y,-(~x)+3*(~x|y)-(~(x|y))-(x^~y)
2*y,-(~x)+3*(~x|y)-(~(x|y))-(~(x^y))
2*y,-2*(~x)+4*(~x|y)-(~x^y)-(x^~y)
2*y,-2*(~x)+4*(~x|y)-(~x^y)-(~(x^y))
2*y,-2*(~x)+4*(~x|y)-(x^~y)-(~(x^y))
y,2*(~x)+(x|~y)-3*(~(x|y))-(x^y)
-y,(~x)+2*(x|~y)-2*(x^y)-3*(~x^y)
-y,(~x)+2*(x|~y)-2*(x^y)-3*(x^~y)
-y,(~x)+2*(x|~y)-2*(x^y)-3*(~(x^y))
-2*y,-2*(~x)+4*(~(x|y))-(~x^y)-(x^~y)
-2*y,-2*(~x)+4*(~(x|y))-(~x^y)-(~(x^y))
-2*y,-2*(~x)+4*(~(x|y))-(x^~y)-(~(x^y))
-2*y,(~y)-2*(x&y)-(~x&y)-(~(x&y))
-2*y,(~y)-(x&y)-2*(~x&y)-(x|~y)
-2*y,3*(~y)-(x&y)-2*(~(x&y))-(x|~y)
-y,(~y)+(x&y)-(x|y)-(~x^y)
-y,(~y)+(x&y)-(x|y)-(x^~y)
-y,(~y)+(x&y)-(x|y)-(~(x^y))
-2*y,(~y)-(x&y)-(~x|y)-(x^y)
-y,(~y)-(x&y)-(~(x|y))-(x^y)
-y,(~y)-(~x&y)-(x&~y)-(~x^y)
-y,(~y)-(~x&y)-(x&~y)-(x^~y)
-y,(~y)-(~x&y)-(x&~y)-(~(x^y))
-y,3*(~y)+(~x&y)-2*(~(x&y))-(x|~y)
-2*y,(~y)-(~x&y)-(x|y)-(~x^y)
-2*y,(~y)-(~x&y)-(x|y)-(x^~y)
-2*y,(~y)-(~x&y)-(x|y)-(~(x^y))
-y,(~y)+(~x&y)-(~x|y)-(x^y)
-y,2*(~y)-(x&~y)-(~(x&y))-(~x^y)
-y,2*(~y)-(x&~y)-(~(x&y))-(x^~y)
-y,2*(~y)-(x&~y)-(~(x&y))-(~(x^y))
-3*y,(~y)+(x&~y)-2*(x|y)-(~x|y)
-2*y,(~y)+(x&~y)-2*(x|y)-(~(x|y))
-y,2*(~y)-2*(x&~y)-(~x|y)-(~(x|y))
-y,(~y)+(x&~y)-(x|~y)-(x^y)
y,-(~y)+(~(x&y))+(x|y)-(x^y)
-2*y,2*(~y)-(~(x&y))-(x|y)-(~x^y)
-2*y,2*(~y)-(~(x&y))-(x|y)-(x^~y)
-2*y,2*(~y)-(~(x&y))-(x|y)-(~(x^y))
-y,(~y)-(~(x&y))+(~(x|y))-(~x^y)
-y,(~y)-(~(x&y))+(~(x|y))-(x^~y)
-y,(~y)-(~(x&y))+(~(x|y))-(~(x^y))
-3*y,2*(~y)-2*(x|y)-(~x|y)-(~(x|y))
-2*y,2*(~y)-(~x|y)-(x|~y)-(x^y)
y,-(~y)+(~x|y)+(x|~y)-(~x^y)
y,-(~y)+(~x|y)+(x|~y)-(x^~y)
y,-(~y)+(~x|y)+(x|~y)-(~(x^y))
-y,2*(~y)-(x|~y)-(~(x|y))-(x^y)
-2*y,2*(~y)-2*(x^y)-(~x^y)-(x^~y)
-2*y,2*(~y)-2*(x^y)-(~x^y)-(~(x^y))
-2*y,2*(~y)-2*(x^y)-(x^~y)-(~(x^y))
-2*y,-(x&y)-(~x&y)+(x&~y)-(x|y)
-2*y,-2*(x&y)-(~x&y)+(x&~y)-(x^y)
-2*y,-(x&y)-3*(~x&y)+(~(x&y))-(x|~y)
-y,-2*(x&y)-(~x&y)+(x|y)-(x^y)
-y,-2*(x&y)-2*(~x&y)+(~x|y)-(~(x|y))
-y,-(x&y)-2*(~x&y)+(~x|y)-(~x^y)
-y,-(x&y)-2*(~x&y)+(~x|y)-(x^~y)
-y,-(x&y)-2*(~x&y)+(~x|y)-(~(x^y))
-2*y,-(x&y)-2*(~x&y)+(~(x|y))-(~x^y)
-2*y,-(x&y)-2*(~x&y)+(~(x|y))-(x^~y)
-2*y,-(x&y)-2*(~x&y)+(~(x|y))-(~(x^y))
-y,-(x&y)-(~x&y)+(~x^y)-(x^~y)
-y,-(x&y)-(~x&y)+(~x^y)-(~(x^y))
-y,-(x&y)-(~x&y)+(x^~y)-(~(x^y))
y,(x&y)-(x&~y)+(~(x&y))-(~(x|y))
y,2*(x&y)-(x&~y)+(~(x&y))-(~x^y)
y,2*(x&y)-(x&~y)+(~(x&y))-(x^~y)
y,2*(x&y)-(x&~y)+(~(x&y))-(~(x^y))
-2*y,-(x&y)+2*(x&~y)-(x|y)-(x^y)
y,(x&y)+(x&~y)+(~x|y)-(x|~y)
-y,(x&y)+(~(x&y))-(x|y)-(~x|y)
2*y,(x&y)+(x|y)+(~x|y)-(x|~y)
-y,-(x&y)-(x|y)+(x|~y)-(~(x|y))
-2*y,-2*(x&y)-(~x|y)+(x|~y)-(x^y)
2*y,(x&y)+2*(~x|y)-(~(x|y))-(~x^y)
2*y,(x&y)+2*(~x|y)-(~(x|y))-(x^~y)
2*y,(x&y)+2*(~x|y)-(~(x|y))-(~(x^y))
2*y,2*(x&y)+2*(~x|y)-(~x^y)-(x^~y)
2*y,2*(x&y)+2*(~x|y)-(~x^y)-(~(x^y))
2*y,2*(x&y)+2*(~x|y)-(x^~y)-(~(x^y))
-y,-2*(x&y)+(x|~y)-(~(x|y))-(x^y)
-y,-(x&y)+(x|~y)-(x^y)-(~x^y)
-y,-(x&y)+(x|~y)-(x^y)-(x^~y)
-y,-(x&y)+(x|~y)-(x^y)-(~(x^y))
-y,-(~x&y)-(x&~y)+(~(x&y))-(~x|y)
-y,-2*(~x&y)-(x&~y)+(~(x&y))-(~x^y)
-y,-2*(~x&y)-(x&~y)+(~(x&y))-(x^~y)
-y,-2*(~x&y)-(x&~y)+(~(x&y))-(~(x^y))
-y,(~x&y)+2*(x&~y)-(x|y)-(x^y)
y,(~x&y)-(x&~y)+(x|~y)-(~(x|y))
-2*y,-(~x&y)+(~(x&y))-(x|y)-(~x|y)
-y,-(~x&y)+(~(x&y))-(x|y)-(~(x|y))
-2*y,-2*(~x&y)+(~(x&y))-(x|y)-(~x^y)
-2*y,-2*(~x&y)+(~(x&y))-(x|y)-(x^~y)
-2*y,-2*(~x&y)+(~(x&y))-(x|y)-(~(x^y))
-y,-(~x&y)+(~(x&y))-(x^y)-(~x^y)
-y,-(~x&y)+(~(x&y))-(x^y)-(x^~y)
-y,-(~x&y)+(~(x&y))-(x^y)-(~(x^y))
y,-(~x&y)+(x|y)+(~x|y)-(x|~y)
y,-(~x&y)+2*(~x|y)-(~(x|y))-(~x^y)
y,-(~x&y)+2*(~x|y)-(~(x|y))-(x^~y)
y,-(~x&y)+2*(~x|y)-(~(x|y))-(~(x^y))
y,2*(~x&y)+(x|~y)-(~(x|y))-(x^y)
-2*y,-2*(~x&y)+2*(~(x|y))-(~x^y)-(x^~y)
-2*y,-2*(~x&y)+2*(~(x|y))-(~x^y)-(~(x^y))
-2*y,-2*(~x&y)+2*(~(x|y))-(x^~y)-(~(x^y))
y,2*(x&~y)-(~(x&y))+2*(~x|y)-(x|~y)
y,(x&~y)-(~(x&y))+2*(~x|y)-(~x^y)
y,(x&~y)-(~(x&y))+2*(~x|y)-(x^~y)
y,(x&~y)-(~(x&y))+2*(~x|y)-(~(x^y))
y,-2*(x&~y)+(~(x&y))+(x|~y)-2*(~(x|y))
-y,2*(x&~y)+(~(x&y))-(x|~y)-2*(x^y)
-y,(x&~y)-(~(x&y))+2*(~(x|y))-(~x^y)
-y,(x&~y)-(~(x&y))+2*(~(x|y))-(x^~y)
-y,(x&~y)-(~(x&y))+2*(~(x|y))-(~(x^y))
-y,(x&~y)+(~(x&y))-2*(x^y)-(~x^y)
-y,(x&~y)+(~(x&y))-2*(x^y)-(x^~y)
-y,(x&~y)+(~(x&y))-2*(x^y)-(~(x^y))
-y,2*(x&~y)-2*(x|y)+(~x|y)-(~(x|y))
-2*y,(x&~y)-2*(x|y)+(x|~y)-(~x^y)
-2*y,(x&~y)-2*(x|y)+(x|~y)-(x^~y)
-2*y,(x&~y)-2*(x|y)+(x|~y)-(~(x^y))
-y,(x&~y)-(x|y)+(~x^y)-(x^~y)
-y,(x&~y)-(x|y)+(~x^y)-(~(x^y))
-y,(x&~y)-(x|y)+(x^~y)-(~(x^y))
-y,2*(x&~y)-(x|~y)+(~(x|y))-(x^y)
-y,(x&~y)+(~(x|y))-(x^y)-(~x^y)
-y,(x&~y)+(~(x|y))-(x^y)-(x^~y)
-y,(x&~y)+(~(x|y))-(x^y)-(~(x^y))
3*y,-(~(x&y))+2*(x|y)+2*(~x|y)-(x|~y)
2*y,-(~(x&y))+(x|y)+2*(~x|y)-(~x^y)
2*y,-(~(x&y))+(x|y)+2*(~x|y)-(x^~y)
2*y,-(~(x&y))+(x|y)+2*(~x|y)-(~(x^y))
-y,(~(x&y))-2*(x|y)+(x|~y)-2*(~(x|y))
y,(~(x&y))+2*(x|y)-(x|~y)-2*(x^y)
y,-(~(x&y))+2*(~x|y)+(x|~y)-2*(~x^y)
y,-(~(x&y))+2*(~x|y)+(x|~y)-2*(x^~y)
y,-(~(x&y))+2*(~x|y)+(x|~y)-2*(~(x^y))
y,(~(x&y))+(~x|y)-2*(~(x|y))-(x^y)
-y,-(~(x&y))+(x|~y)+2*(~(x|y))-2*(~x^y)
-y,-(~(x&y))+(x|~y)+2*(~(x|y))-2*(x^~y)
-y,-(~(x&y))+(x|~y)+2*(~(x|y))-2*(~(x^y))
-y,(~(x&y))+(x|~y)-2*(x^y)-2*(~x^y)
-y,(~(x&y))+(x|~y)-2*(x^y)-2*(x^~y)
-y,(~(x&y))+(x|~y)-2*(x^y)-2*(~(x^y))
2*y,2*(x|y)+(~x|y)-(x|~y)-(x^y)
